[rospy.client][INFO] 2017-03-30 16:03:25,774: init_node, name[/acrobot_control_node], pid[14452]
[xmlrpc][INFO] 2017-03-30 16:03:25,774: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 16:03:25,775: Started XML-RPC server [http://hancheol:38485/]
[rospy.impl.masterslave][INFO] 2017-03-30 16:03:25,776: _ready: http://hancheol:38485/
[rospy.init][INFO] 2017-03-30 16:03:25,777: ROS Slave URI: [http://hancheol:38485/]
[rospy.registration][INFO] 2017-03-30 16:03:25,779: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-03-30 16:03:25,779: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-03-30 16:03:25,877: registered with master
[rosout][INFO] 2017-03-30 16:03:28,711: /acrobot_control_node, u = 1.089164
[rosout][INFO] 2017-03-30 16:03:28,723: /acrobot_control_node, u = 1.089164
[rosout][INFO] 2017-03-30 16:03:28,733: /acrobot_control_node, u = 1.880164
[rosout][INFO] 2017-03-30 16:03:28,746: /acrobot_control_node, u = 1.880164
[rosout][INFO] 2017-03-30 16:03:28,755: /acrobot_control_node, u = 2.640624
[rosout][INFO] 2017-03-30 16:03:28,765: /acrobot_control_node, u = 2.640624
[rosout][INFO] 2017-03-30 16:03:28,777: /acrobot_control_node, u = 3.345503
[rosout][INFO] 2017-03-30 16:03:28,788: /acrobot_control_node, u = 3.345503
[rosout][INFO] 2017-03-30 16:03:28,799: /acrobot_control_node, u = 3.968643
[rosout][INFO] 2017-03-30 16:03:28,808: /acrobot_control_node, u = 3.968643
[rosout][INFO] 2017-03-30 16:03:28,818: /acrobot_control_node, u = 4.490744
[rosout][INFO] 2017-03-30 16:03:28,828: /acrobot_control_node, u = 4.490744
[rosout][INFO] 2017-03-30 16:03:28,844: /acrobot_control_node, u = 4.897378
[rosout][INFO] 2017-03-30 16:03:28,849: /acrobot_control_node, u = 4.897378
[rosout][INFO] 2017-03-30 16:03:28,859: /acrobot_control_node, u = 5.179864
[rosout][INFO] 2017-03-30 16:03:28,871: /acrobot_control_node, u = 5.179864
[rosout][INFO] 2017-03-30 16:03:28,881: /acrobot_control_node, u = 5.337226
[rosout][INFO] 2017-03-30 16:03:28,893: /acrobot_control_node, u = 5.337226
[rosout][INFO] 2017-03-30 16:03:28,902: /acrobot_control_node, u = 5.377498
[rosout][INFO] 2017-03-30 16:03:28,915: /acrobot_control_node, u = 5.377498
[rosout][INFO] 2017-03-30 16:03:28,926: /acrobot_control_node, u = 5.315140
[rosout][INFO] 2017-03-30 16:03:28,933: /acrobot_control_node, u = 5.315140
[rosout][INFO] 2017-03-30 16:03:28,946: /acrobot_control_node, u = 5.169755
[rosout][INFO] 2017-03-30 16:03:28,954: /acrobot_control_node, u = 5.169755
[rosout][INFO] 2017-03-30 16:03:28,965: /acrobot_control_node, u = 4.964668
[rosout][INFO] 2017-03-30 16:03:28,975: /acrobot_control_node, u = 4.964668
[rosout][INFO] 2017-03-30 16:03:28,990: /acrobot_control_node, u = 4.724888
[rosout][INFO] 2017-03-30 16:03:29,000: /acrobot_control_node, u = 4.724888
[rosout][INFO] 2017-03-30 16:03:29,010: /acrobot_control_node, u = 4.476269
[rosout][INFO] 2017-03-30 16:03:29,023: /acrobot_control_node, u = 4.476269
[rosout][INFO] 2017-03-30 16:03:29,034: /acrobot_control_node, u = 4.239777
